ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
44871,45.724079,24.225229,21-01-2020 06:30,Major,DN7 Pitești-Sibiu,,9,0,6
44872,45.725494,24.223663,22-01-2020 07:45,Major,DN7 Pitești-Sibiu,,10,7,68
44873,45.700811,24.248875,22-01-2020 09:29,Major,DN7 Pitești-Sibiu,,6,0,1
44874,45.270158,24.315929,22-01-2020 13:50,Minor,DN7 Pitești-Sibiu,Căciulata,6,0,0
44877,45.130321,24.364728,23-01-2020 06:18,Minor,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,3,10
44878,45.176232,24.363035,23-01-2020 14:50,Minor,DN7 Pitești-Sibiu,Malul Vârtop,10,1,8
44880,45.590689,24.259536,24-01-2020 08:32,Major,DN7 Pitești-Sibiu,,10,11,16
44881,45.238518,24.341104,24-01-2020 11:27,Major,DN7 Pitești-Sibiu,Călimănești,10,5,33
44882,45.135242,24.364962,24-01-2020 16:54,Minor,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,0,16
44883,45.560912,24.257163,24-01-2020 17:21,Major,DN7 Pitești-Sibiu,,10,1,20
44884,45.276792,24.307908,25-01-2020 10:25,Minor,DN7 Pitești-Sibiu,,6,1,0
44887,45.248354,24.337669,25-01-2020 21:25,Major,DN7 Pitești-Sibiu,Călimănești,10,0,9
44888,45.387325,24.300031,26-01-2020 09:06,Minor,DN7 Pitești-Sibiu,,6,0,0
44889,45.256646,24.33292,26-01-2020 12:57,Major,DN7 Pitești-Sibiu,Căciulata,6,0,1
44890,44.903098,24.732207,26-01-2020 14:25,Major,DN7 Pitești-Sibiu,Prislopu Mare,10,3,9
44891,45.063708,24.416571,26-01-2020 14:56,Minor,DN7 Pitești-Sibiu,"Linia, Budești",6,0,0
44892,45.014767,24.543892,26-01-2020 15:08,Major,DN7 Pitești-Sibiu,Dedulești,6,0,1
44893,45.141251,24.366775,26-01-2020 15:41,Minor,DN7 Pitești-Sibiu,Bujoreni,10,1,21
44894,44.976414,24.663299,26-01-2020 16:26,Minor,DN7 Pitești-Sibiu,,6,0,0
44895,45.35579,24.296737,26-01-2020 17:00,Minor,DN7 Pitești-Sibiu,Drăgăneşti,10,1,39
44896,45.575993,24.251076,26-01-2020 19:44,Major,DN7 Pitești-Sibiu,,10,5,19
44897,45.748823,24.201137,26-01-2020 23:36,Major,DN7 Pitești-Sibiu,,9,1,10
